tipo;year;total
general;2021;131.93
general;2020;127.23
general;2019;124.60
general;2018;118.60
general;2017;111.14
general;2016;104.66
general;2015;100.00
general;2014;96.55
general;2013;96.27
general;2012;107.68
general;2011;124.83
general;2010;134.75
general;2009;137.48
general;2008;147.34
general;2007;149.60
nueva;2021;143.53
nueva;2020;137.20
nueva;2019;128.83
nueva;2018;120.04
nueva;2017;112.84
nueva;2016;106.52
nueva;2015;100.00
nueva;2014;95.48
nueva;2013;94.66
nueva;2012;105.66
nueva;2011;120.47
nueva;2010;127.03
nueva;2009;130.50
nueva;2008;136.13
nueva;2007;130.66
segunda;2021;130.24
segunda;2020;125.74
segunda;2019;123.99
segunda;2018;118.39
segunda;2017;110.89
segunda;2016;104.37
segunda;2015;100.00
segunda;2014;96.74
segunda;2013;96.65
segunda;2012;108.48
segunda;2011;127.38
segunda;2010;140.68
segunda;2009;142.38
segunda;2008;156.46
segunda;2007;166.86
