base_2011;base_2002;year
99.12;136.87;2016
99.12;136.87;2016
99.1;136.84;2016
99.13;136.88;2016
99.1;136.84;2016
99.09;136.83;2016
99.15;136.91;2016
99.13;136.88;2016
99.11;136.85;2016
99.08;136.81;2016
99.08;136.81;2016
99.04;136.76;2016
99.04;136.76;2015
99.05;136.77;2015
99.07;136.8;2015
99.13;136.88;2015
99.14;136.9;2015
99.16;136.92;2015
99.19;136.96;2015
99.22;137.01;2015
99.23;137.02;2015
99.32;137.14;2015
99.39;137.24;2015
99.39;137.24;2015
99.39;137.24;2014
99.43;137.3;2014
99.47;137.35;2014
99.55;137.46;2014
99.57;137.49;2014
99.58;137.5;2014
99.65;137.6;2014
99.75;137.74;2014
99.83;137.85;2014
99.86;137.89;2014
99.95;138.01;2014
100.03;138.12;2014
100.11;138.24;2013
100.14;138.28;2013
100.16;138.3;2013
100.23;138.4;2013
100.32;138.53;2013
100.39;138.62;2013
100.42;138.66;2013
100.47;138.73;2013
100.49;138.76;2013
100.56;138.86;2013
100.53;138.82;2013
100.55;138.84;2013
100.66;138.99;2012
100.64;138.97;2012
100.64;138.97;2012
100.54;138.83;2012
100.54;138.83;2012
100.58;138.88;2012
100.55;138.84;2012
100.53;138.82;2012
100.58;138.88;2012
100.54;138.83;2012
100.43;138.68;2012
100.37;138.59;2012
100.3;138.5;2011
100.26;138.44;2011
100.21;138.37;2011
100.16;138.3;2011
100.13;138.26;2011
100.08;138.19;2011
100.01;138.1;2011
99.96;138.03;2011
99.87;137.9;2011
99.78;137.78;2011
99.69;137.66;2011
99.56;137.48;2011
99.46;137.34;2010
99.41;137.27;2010
99.33;137.16;2010
99.2;136.98;2010
99.15;136.91;2010
99.07;136.8;2010
98.93;136.61;2010
98.84;136.48;2010
98.77;136.38;2010
98.63;136.19;2010
98.48;135.98;2010
98.4;135.87;2010
98.36;135.82;2009
98.31;135.75;2009
98.25;135.67;2009
98.2;135.6;2009
98.15;135.53;2009
98.07;135.42;2009
98;135.32;2009
97.87;135.14;2009
97.76;134.99;2009
97.5;134.63;2009
97.23;134.26;2009
96.91;133.82;2009
96.63;133.43;2008
96.38;133.08;2008
96.01;132.57;2008
95.7;132.15;2008
95.47;131.83;2008
95.23;131.5;2008
94.99;131.17;2008
94.65;130.7;2008
94.33;130.25;2008
93.89;129.65;2008
93.36;128.91;2008
92.94;128.33;2008
92.56;127.81;2007
92.38;127.56;2007
92.11;127.19;2007
91.75;126.69;2007
91.61;126.5;2007
91.41;126.22;2007
91.11;125.81;2007
90.79;125.37;2007
90.48;124.94;2007
90.09;124.4;2007
89.66;123.81;2007
89.24;123.23;2007
88.81;122.63;2006
88.53;122.25;2006
88.17;121.75;2006
87.9;121.38;2006
87.76;121.18;2006
87.63;121;2006
87.35;120.62;2006
87.04;120.19;2006
86.73;119.76;2006
86.32;119.19;2006
85.81;118.49;2006
85.39;117.91;2006
84.98;117.34;2005
84.78;117.07;2005
84.51;116.69;2005
84.27;116.36;2005
84.03;116.03;2005
83.85;115.78;2005
83.69;115.56;2005
83.44;115.22;2005
83.13;114.79;2005
82.75;114.26;2005
82.32;113.67;2005
81.93;113.13;2005
81.61;112.69;2004
81.3;112.26;2004
81;111.85;2004
80.74;111.49;2004
80.55;111.23;2004
80.4;111.02;2004
80.17;110.7;2004
79.95;110.4;2004
79.73;110.09;2004
79.39;109.62;2004
79.02;109.11;2004
78.69;108.66;2004
78.42;108.29;2003
78.22;108.01;2003
77.86;107.51;2003
77.53;107.06;2003
77.33;106.78;2003
77.22;106.63;2003
77.04;106.38;2003
76.81;106.06;2003
76.55;105.7;2003
76.25;105.29;2003
75.89;104.79;2003
75.52;104.28;2003
75.19;103.82;2002
74.99;103.55;2002
74.69;103.13;2002
74.47;102.83;2002
74.26;102.54;2002
74.05;102.25;2002
73.93;102.09;2002
73.63;101.67;2002
73.37;101.31;2002
73.09;100.93;2002
72.72;100.41;2002
72.42;100;2002
